Row,NT,CT,QmT,TT,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RR,dB,dC,I,HVN,ASP,MS,RA,hcASP,lumpASP,cFS
NT,1,0.774139909349149,0.623975974655193,-0.643438654196366,-0.889948257079167,-0.142300400980397,-0.126576885870657,-0.253471036225861,-0.172271705435964,0.349784143716453,0.429045308994155,0.214172621631316,0.313723797648308,-0.275119816619883,-0.10712985676215,-0.08567490319039,-0.1363417690491,0.690340259336254,0.502202003504175,-0.568454365378251,0.751295612130529,0.491045186578351,-0.75894171969598,0.56790209096217
CT,0.774139909349149,1,0.80602481169043,-0.786155925154525,-0.672347467672434,-0.0327620741343786,-0.129843448969049,-0.148738482173395,0.0699502994145177,0.0204574365600319,0.202448839326391,0.20067713483306,0.266869521176652,-0.245155424378908,-0.0451543027880556,-0.175934822598643,-0.169337469351516,0.918323378136159,0.831300814823518,-0.74290848315662,0.971063539938019,0.822677265981847,-0.978941095786728,0.747658061783052
QmT,0.623975974655193,0.80602481169043,1,-0.640570543052282,-0.54192874102121,-0.0264070446347504,-0.104657041504513,-0.119886907084931,0.0563816769132758,0.0164892014509685,0.163178787595,0.161750749814392,0.215103455552325,-0.197601354769896,-0.0363954884017551,-0.14180783225486,-0.136490201846189,0.752023626191401,0.674128305691773,-0.602262313646021,0.790089711981735,0.666770311619048,-0.792066581626761,0.579891092368316
TT,-0.643438654196366,-0.786155925154525,-0.640570543052282,1,0.611891153881134,-0.0820870136949832,0.213462650021569,0.047479742804898,-0.147391192581461,0.0886007896940312,-0.0401700610847339,-0.116523548829874,-0.107608567170496,0.167431617051047,-0.0389451783505034,0.0804601050344301,0.039729270212507,-0.707366923883692,-0.511041374383296,0.421238455783386,-0.760288961145381,-0.499145708506311,0.764131053430417,-0.544041560649683
C,-0.889948257079167,-0.672347467672434,-0.54192874102121,0.611891153881134,1,0.292045959433809,0.19992057247513,0.171647130319277,0.00398027111971642,-0.196528342048145,-0.275334972355061,-0.108377619957233,-0.314530982242394,0.193685275974067,-0.0788176417307873,0.0834792327823856,0.0169124550060452,-0.486480399013061,-0.223950348820809,0.267354476104041,-0.641561684772045,-0.210676542565821,0.642938889942986,-0.303940760004347
Si,-0.142300400980397,-0.0327620741343786,-0.0264070446347504,-0.0820870136949832,0.292045959433809,1,-0.0248742536626654,0.0373406069493853,-0.184862003275257,-0.0661258101317081,-0.051973658931136,0.125450012033891,-0.079730973765287,0.0431293266651627,-0.0592009981210677,0.119625603862802,0.0582465236650191,0.177610631949162,0.0711930081559257,-0.0374140496527777,-0.0271211001972961,0.0667188161574388,0.0256566366092498,0.283914318559465
Mn,-0.126576885870657,-0.129843448969049,-0.104657041504513,0.213462650021569,0.19992057247513,-0.0248742536626654,1,0.0412528176643849,-0.0423562201190864,-0.354234524243134,-0.344544751748762,-0.0700525979461291,-0.240451526792142,0.0108021460957628,-0.127547271691149,-0.0745793775238308,-0.140385109272,-0.138634982043628,-0.010712775465239,0.0921896046741688,-0.150029219438515,-0.00507122362010427,0.152593993615776,-0.169621926093087
P,-0.253471036225861,-0.148738482173395,-0.119886907084931,0.047479742804898,0.171647130319277,0.0373406069493853,0.0412528176643849,1,0.222441384670691,-0.274630889754537,-0.145171896386809,-0.174759960798715,-0.0663467467339095,0.19395880946322,0.0713764475479162,-0.196043868526799,-0.111682589385961,-0.149278196653941,-0.169507569829203,0.250957793328906,-0.187118041284305,-0.169514359065495,0.190395804080067,-0.172519255238561
S,-0.172271705435964,0.0699502994145177,0.0563816769132758,-0.147391192581461,0.00398027111971642,-0.184862003275257,-0.0423562201190864,0.222441384670691,1,-0.338892084710072,-0.382884289107073,-0.104593594475587,-0.0530880232459701,0.0684701057373379,0.261011177883122,-0.0817192462331481,0.0997926667770699,-0.0635460176067456,-0.0524692385069793,0.160186258415182,0.0451091779329109,-0.0523520726907393,-0.0464836319291245,-0.156551916898378
Ni,0.349784143716453,0.0204574365600319,0.0164892014509685,0.0886007896940312,-0.196528342048145,-0.0661258101317081,-0.354234524243134,-0.274630889754537,-0.338892084710072,1,0.258243059463676,0.073638607361565,0.160291674454007,-0.120488297404567,-0.138405388140504,0.0510669799166364,-0.0467287982275787,0.0663450249700297,0.133171366493386,-0.472471927813878,0.089952499622967,0.135597449638267,-0.103051681135573,0.167072462745556
